Average Domestic Airline Itinerary Fares By Origin City for Q4 2024 Ranked by Total Number of Domestic Passengers in 2024,,,,,,,,,,,,,,,,,,
2024 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q4-2024),2024 Passengers (10% sample),,,,,,,,,,,
1,LAX,Los Angeles International,Los Angeles,CA,430.99,430.99," 1,284,083 ",,,,,,,,,,,
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,393.45,393.45," 1,089,038 ",,,,,,,,,,,
3,DEN,Denver International,Denver,CO,372.48,372.48," 1,023,630 ",,,,,,,,,,,
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,421.70,421.70," 1,012,618 ",,,,,,,,,,,
5,BOS,Logan International,Boston,MA,369.14,369.14," 986,868 ",,,,,,,,,,,
6,EWR,Newark Liberty International,Newark,NJ,449.51,449.51," 940,299 ",,,,,,,,,,,
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,417.38,417.38," 894,683 ",,,,,,,,,,,
8,SEA,Seattle/Tacoma International,Seattle,WA,409.29,409.29," 880,202 ",,,,,,,,,,,
9,MCO,Orlando International,Orlando,FL,287.28,287.28," 845,562 ",,,,,,,,,,,
10,SFO,San Francisco International,San Francisco,CA,467.82,467.82," 844,286 ",,,,,,,,,,,
11,PHX,Phoenix Sky Harbor International,Phoenix,AZ,379.86,379.86," 825,399 ",,,,,,,,,,,
12,LGA,LaGuardia,New York-La Guardia,NY,362.44,362.44," 795,129 ",,,,,,,,,,,
13,JFK,John F. Kennedy International,New York-JFK,NY,438.82,438.82," 750,626 ",,,,,,,,,,,
14,LAS,Harry Reid International,Las Vegas,NV,291.34,291.34," 675,568 ",,,,,,,,,,,
15,MSP,Minneapolis-St Paul International,Minneapolis,MN,414.75,414.75," 657,943 ",,,,,,,,,,,
16,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,419.19,419.19," 627,878 ",,,,,,,,,,,
17,PHL,Philadelphia International,Philadelphia,PA,406.91,406.91," 618,958 ",,,,,,,,,,,
18,SAN,San Diego International,San Diego,CA,385.57,385.57," 596,023 ",,,,,,,,,,,
19,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,274.60,274.60," 585,196 ",,,,,,,,,,,
20,DTW,Detroit Metro Wayne County,Detroit,MI,453.91,453.91," 572,843 ",,,,,,,,,,,
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,396.15,396.15," 547,638 ",,,,,,,,,,,
22,TPA,Tampa International,Tampa,FL,342.14,342.14," 534,514 ",,,,,,,,,,,
23,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,384.37,384.37," 489,183 ",,,,,,,,,,,
24,MIA,Miami International,Miami,FL,358.60,358.60," 478,084 ",,,,,,,,,,,
25,AUS,Austin - Bergstrom International,Austin,TX,427.29,427.29," 472,888 ",,,,,,,,,,,
26,CLT,Charlotte Douglas International,Charlotte,NC,419.36,419.36," 446,301 ",,,,,,,,,,,
27,PDX,Portland International,Portland,OR,391.30,391.30," 441,785 ",,,,,,,,,,,
28,BNA,Nashville International,Nashville,TN,379.05,379.05," 441,195 ",,,,,,,,,,,
29,SLC,Salt Lake City International,Salt Lake City,UT,453.66,453.66," 434,499 ",,,,,,,,,,,
30,RDU,Raleigh-Durham International,Raleigh/Durham,NC,371.61,371.61," 403,082 ",,,,,,,,,,,
31,SMF,Sacramento International,Sacramento,CA,399.07,399.07," 367,629 ",,,,,,,,,,,
32,HNL,Daniel K Inouye International,Honolulu,HI,377.62,377.62," 355,128 ",,,,,,,,,,,
33,MDW,Chicago Midway International,Chicago-Midway,IL,322.95,322.95," 349,329 ",,,,,,,,,,,
34,STL,St Louis Lambert International,St. Louis,MO,418.45,418.45," 317,689 ",,,,,,,,,,,
35,IAD,Washington Dulles International,Washington-Dulles,DC,509.23,509.23," 316,263 ",,,,,,,,,,,
36,SJC,Norman Y. Mineta San Jose International,San Jose,CA,340.28,340.28," 305,263 ",,,,,,,,,,,
37,MCI,Kansas City International,Kansas City,MO,422.16,422.16," 297,424 ",,,,,,,,,,,
38,DAL,Dallas Love Field,Dallas-Love Field,TX,355.25,355.25," 289,935 ",,,,,,,,,,,
39,IND,Indianapolis International,Indianapolis,IN,406.27,406.27," 289,135 ",,,,,,,,,,,
40,CLE,Cleveland-Hopkins International,Cleveland,OH,382.70,382.70," 275,340 ",,,,,,,,,,,
41,PIT,Pittsburgh International,Pittsburgh,PA,391.85,391.85," 273,272 ",,,,,,,,,,,
42,OAK,Metro Oakland International,Oakland,CA,338.15,338.15," 268,902 ",,,,,,,,,,,
43,MSY,Louis Armstrong New Orleans International,New Orleans,LA,348.57,348.57," 268,725 ",,,,,,,,,,,
44,SJU,Luis Munoz Marin International,San Juan,PR,276.37,276.37," 262,979 ",,,,,,,,,,,
45,SAT,San Antonio International,San Antonio,TX,421.24,421.24," 261,417 ",,,,,,,,,,,
46,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,379.60,379.60," 254,552 ",,,,,,,,,,,
47,SNA,John Wayne Airport-Orange County,Santa Ana,CA,447.41,447.41," 254,126 ",,,,,,,,,,,
48,CMH,John Glenn Columbus International,Columbus,OH,416.38,416.38," 244,751 ",,,,,,,,,,,
49,HOU,William P Hobby,Houston-Hobby,TX,375.92,375.92," 229,047 ",,,,,,,,,,,
50,RSW,Southwest Florida International,Fort Myers,FL,356.45,356.45," 215,751 ",,,,,,,,,,,
51,BDL,Bradley International,Hartford,CT,381.09,381.09," 210,677 ",,,,,,,,,,,
52,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,354.62,354.62," 207,211 ",,,,,,,,,,,
53,ONT,Ontario International,Ontario,CA,381.50,381.50," 198,746 ",,,,,,,,,,,
54,JAX,Jacksonville International,Jacksonville,FL,426.27,426.27," 190,561 ",,,,,,,,,,,
55,BUR,Bob Hope,Burbank,CA,336.25,336.25," 183,243 ",,,,,,,,,,,
56,MKE,General Mitchell International,Milwaukee,WI,421.76,421.76," 179,994 ",,,,,,,,,,,
57,BUF,Buffalo Niagara International,Buffalo,NY,339.51,339.51," 146,872 ",,,,,,,,,,,
58,RIC,Richmond International,Richmond,VA,422.75,422.75," 145,166 ",,,,,,,,,,,
59,CHS,Charleston AFB/International,Charleston,SC,379.53,379.53," 144,183 ",,,,,,,,,,,
60,OMA,Eppley Airfield,Omaha,NE,439.94,439.94," 143,403 ",,,,,,,,,,,
61,BOI,Boise Air Terminal,Boise,ID,410.25,410.25," 135,151 ",,,,,,,,,,,
62,ORF,Norfolk International,Norfolk,VA,437.06,437.06," 135,070 ",,,,,,,,,,,
63,MEM,Memphis International,Memphis,TN,436.40,436.40," 133,439 ",,,,,,,,,,,
64,ABQ,Albuquerque International Sunport,Albuquerque,NM,429.25,429.25," 133,295 ",,,,,,,,,,,
65,PVD,Rhode Island Tf Green International,Providence,RI,342.28,342.28," 123,931 ",,,,,,,,,,,
66,GRR,Gerald R. Ford International,Grand Rapids,MI,417.79,417.79," 122,792 ",,,,,,,,,,,
67,SDF,Louisville Muhammad Ali International,Louisville,KY,419.21,419.21," 122,639 ",,,,,,,,,,,
68,OKC,Will Rogers World,Oklahoma City,OK,454.70,454.70," 121,164 ",,,,,,,,,,,
69,ELP,El Paso International,El Paso,TX,404.46,404.46," 120,309 ",,,,,,,,,,,
70,ANC,Ted Stevens Anchorage International,Anchorage,AK,595.07,595.07," 113,291 ",,,,,,,,,,,
71,GEG,Spokane International,Spokane,WA,426.21,426.21," 112,587 ",,,,,,,,,,,
72,OGG,Kahului Airport,Kahului,HI,290.86,290.86," 112,368 ",,,,,,,,,,,
73,RNO,Reno/Tahoe International,Reno,NV,393.74,393.74," 109,805 ",,,,,,,,,,,
74,LGB,Long Beach Airport,Long Beach,CA,353.41,353.41," 102,848 ",,,,,,,,,,,
75,TUS,Tucson International,Tucson,AZ,455.92,455.92," 102,184 ",,,,,,,,,,,
76,SYR,Syracuse Hancock International,Syracuse,NY,400.65,400.65," 94,536 ",,,,,,,,,,,
77,DSM,Des Moines International,Des Moines,IA,404.10,404.10," 91,115 ",,,,,,,,,,,
78,ALB,Albany International,Albany,NY,431.41,431.41," 88,845 ",,,,,,,,,,,
79,TUL,Tulsa International,Tulsa,OK,451.18,451.18," 88,037 ",,,,,,,,,,,
80,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,504.77,504.77," 87,795 ",,,,,,,,,,,
81,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,346.09,346.09," 86,365 ",,,,,,,,,,,
